Video-mkv	video/x-matroska	.mkv	acjanc
Lotus 1-2-3	application/vnd.lotus-1-2-3	.123	IANA: Lotus 1-2-3
In3D - 3DML	text/vnd.in3d.3dml	.3dml	IANA: In3D
3GP2	video/3gpp2	.3g2	Wikipedia: 3G2
3GP	video/3gpp	.3gp	Wikipedia: 3GP
7-Zip	application/x-7z-compressed	.7z	Wikipedia: 7-Zip
Adobe (Macropedia) Authorware - Binary File	application/x-authorware-bin	.aab	Wikipedia: Authorware
Advanced Audio Coding (AAC)	audio/x-aac	.aac	Wikipedia: AAC
Adobe (Macropedia) Authorware - Map	application/x-authorware-map	.aam	Wikipedia: Authorware
Adobe (Macropedia) Authorware - Segment File	application/x-authorware-seg	.aas	Wikipedia: Authorware
AbiWord	application/x-abiword	.abw	Wikipedia: AbiWord
Attribute Certificate	application/pkix-attr-cert	.ac	RFC 5877
Active Content Compression	application/vnd.americandynamics.acc	.acc	IANA: Active Content Compression
Ace Archive	application/x-ace-compressed	.ace	Wikipedia: ACE
ACU Cobol	application/vnd.acucobol	.acu	IANA: ACU Cobol
Adaptive differential pulse-code modulation	audio/adpcm	.adp	Wikipedia: ADPCM
Audiograph	application/vnd.audiograph	.aep	IANA: Audiograph
MO:DCA-P	application/vnd.ibm.modcap	.afp	IANA: MO:DCA-P
Ahead AIR Application	application/vnd.ahead.space	.ahead	IANA: Ahead AIR Application
PostScript	application/postscript	.ai	Wikipedia: PostScript
Audio Interchange File Format	audio/x-aiff	.aif	Wikipedia: Audio Interchange File Format
Adobe AIR Application	application/vnd.adobe.air-application-installer-package+zip	.air	Building AIR Applications
Digital Video Broadcasting	application/vnd.dvb.ait	.ait	IANA: Digital Video Broadcasting
AmigaDE	application/vnd.amiga.ami	.ami	IANA: Amiga
Android Package Archive	application/vnd.android.package-archive	.apk	Wikipedia: APK File Format
Microsoft ClickOnce	application/x-ms-application	.application	Wikipedia: ClickOnce
Lotus Approach	application/vnd.lotus-approach	.apr	IANA: Lotus Approach
Microsoft Advanced Systems Format (ASF)	video/x-ms-asf	.asf	Wikipedia: Advanced Systems Format (ASF)
Simply Accounting	application/vnd.accpac.simply.aso	.aso	IANA: Simply Accounting
ACU Cobol	application/vnd.acucorp	.atc	IANA: ACU Cobol
Atom Syndication Format	application/atom+xml	.atom, .xml	RFC 4287
Atom Publishing Protocol	application/atomcat+xml	.atomcat	RFC 5023
Atom Publishing Protocol Service Document	application/atomsvc+xml	.atomsvc	RFC 5023
Antix Game Player	application/vnd.antix.game-component	.atx	IANA: Antix Game Component
Sun Audio - Au file format	audio/basic	.au	Wikipedia: Sun audio
Audio Video Interleave (AVI)	video/x-msvideo	.avi	Wikipedia: AVI
Applixware	application/applixware	.aw	Vistasource
AirZip FileSECURE	application/vnd.airzip.filesecure.azf	.azf	IANA: AirZip
AirZip FileSECURE	application/vnd.airzip.filesecure.azs	.azs	IANA: AirZip
Amazon Kindle eBook format	application/vnd.amazon.ebook	.azw	Kindle Direct Publishing
Binary CPIO Archive	application/x-bcpio	.bcpio	Wikipedia: cpio
Glyph Bitmap Distribution Format	application/x-font-bdf	.bdf	Wikipedia: Glyph Bitmap Distribution Format
SyncML - Device Management	application/vnd.syncml.dm+wbxml	.bdm	IANA: SyncML
RealVNC	application/vnd.realvnc.bed	.bed	IANA: RealVNC
Fujitsu Oasys	application/vnd.fujitsu.oasysprs	.bh2	IANA: Fujitsu Oasys
Binary Data	application/octet-stream	.bin	
BMI Drawing Data Interchange	application/vnd.bmi	.bmi	IANA: BMI
Bitmap Image File	image/bmp	.bmp	Wikipedia: BMP File Format
Preview Systems ZipLock/VBox	application/vnd.previewsystems.box	.box	IANA: Preview Systems ZipLock/Vbox
BTIF	image/prs.btif	.btif	IANA: BTIF
Bzip Archive	application/x-bzip	.bz	Wikipedia: Bzip
Bzip2 Archive	application/x-bzip2	.bz2	Wikipedia: Bzip
C Source File	text/x-c	.c	Wikipedia: C Programming Language
ClueTrust CartoMobile - Config	application/vnd.cluetrust.cartomobile-config	.c11amc	IANA: CartoMobile
ClueTrust CartoMobile - Config Package	application/vnd.cluetrust.cartomobile-config-pkg	.c11amz	IANA: CartoMobile
Clonk Game	application/vnd.clonk.c4group	.c4g	IANA: Clonk
Microsoft Cabinet File	application/vnd.ms-cab-compressed	.cab	IANA: MS Cabinet File
CURL Applet	application/vnd.curl.car	.car	IANA: CURL Applet
Microsoft Trust UI Provider - Security Catalog	application/vnd.ms-pki.seccat	.cat	IANA: MS Trust UI Provider
Voice Browser Call Control	application/ccxml+xml,	.ccxml	Voice Browser Call Control: CCXML Version 1.0
CIM Database	application/vnd.contact.cmsg	.cdbcmsg	IANA: CIM Database
MediaRemote	application/vnd.mediastation.cdkey	.cdkey	IANA: MediaRemote
Cloud Data Management Interface (CDMI) - Capability	application/cdmi-capability	.cdmia	RFC 6208
Cloud Data Management Interface (CDMI) - Contaimer	application/cdmi-container	.cdmic	RFC 6209
Cloud Data Management Interface (CDMI) - Domain	application/cdmi-domain	.cdmid	RFC 6210
Cloud Data Management Interface (CDMI) - Object	application/cdmi-object	.cdmio	RFC 6211
Cloud Data Management Interface (CDMI) - Queue	application/cdmi-queue	.cdmiq	RFC 6212
ChemDraw eXchange file	chemical/x-cdx	.cdx	ChemDraw eXchange file
CambridgeSoft Chem Draw	application/vnd.chemdraw+xml	.cdxml	IANA: Chem Draw
Interactive Geometry Software Cinderella	application/vnd.cinderella	.cdy	IANA: Cinderella
Internet Public Key Infrastructure - Certificate	application/pkix-cert	.cer	RFC 2585
Computer Graphics Metafile	image/cgm	.cgm	Wikipedia: Computer Graphics Metafile
pIRCh	application/x-chat	.chat	Wikipedia: pIRCh
Microsoft Html Help File	application/vnd.ms-htmlhelp	.chm	IANA:MS Html Help File
KDE KOffice Office Suite - KChart	application/vnd.kde.kchart	.chrt	IANA: KDE KOffice Office Suite
Crystallographic Interchange Format	chemical/x-cif	.cif	Crystallographic Interchange Format
ANSER-WEB Terminal Client - Certificate Issue	application/vnd.anser-web-certificate-issue-initiation	.cii	IANA: ANSWER-WEB
Microsoft Artgalry	application/vnd.ms-artgalry	.cil	IANA: MS Artgalry
Claymore Data Files	application/vnd.claymore	.cla	IANA: Claymore
Java Bytecode File	application/java-vm	.class	Wikipedia: Java Bytecode
CrickSoftware - Clicker - Keyboard	application/vnd.crick.clicker.keyboard	.clkk	IANA: Clicker
CrickSoftware - Clicker - Palette	application/vnd.crick.clicker.palette	.clkp	IANA: Clicker
CrickSoftware - Clicker - Template	application/vnd.crick.clicker.template	.clkt	IANA: Clicker
CrickSoftware - Clicker - Wordbank	application/vnd.crick.clicker.wordbank	.clkw	IANA: Clicker
CrickSoftware - Clicker	application/vnd.crick.clicker	.clkx	IANA: Clicker
Microsoft Clipboard Clip	application/x-msclip	.clp	Wikipedia: Clipboard
CosmoCaller	application/vnd.cosmocaller	.cmc	IANA: CosmoCaller
CrystalMaker Data Format	chemical/x-cmdf	.cmdf	CrystalMaker Data Format
